"PandaController_2019_07_11__04_22_12__463949axucqtuhun","PandaController_2019_07_11__07_52_35__792458blpwiaskud","PandaController_2019_08_11__08_38_47__735509zcglqsaenn","PandaController_2019_08_11__11_34_05__216181wrezbfoqef","PandaController_2019_08_11__13_28_46__876978roceimuexi","Mean_over_grasps","Std_over_grasps"
"2.0","0.0","0.0","0.0","1.0","0.6","0.7999999999999999"
"0.0","0.0","0.0","1.0","1.0","0.4","0.48989794855663565"
"1.0","0.0","1.0","1.0","0.0","0.6","0.48989794855663565"
"1.0","0.0","1.0","0.0","2.0","0.8","0.7483314773547883"
"0.0","0.0","0.0","1.0","1.0","0.4","0.48989794855663565"
"1.0","0.0","0.0","0.0","3.0","0.8","1.1661903789690602"
"0.0","0.0","0.0","1.0","0.0","0.2","0.4"
"0.0","0.0","1.0","0.0","2.0","0.6","0.7999999999999999"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","1.0","0.0","1.0","0.0","0.4","0.48989794855663565"
"0.0","0.0","1.0","1.0","1.0","0.6","0.48989794855663565"
"0.0","2.0","0.0","1.0","0.0","0.6","0.7999999999999999"
"0.0","0.0","0.0","2.0","0.0","0.4","0.8"
"0.0","0.0","0.0","1.0","1.0","0.4","0.48989794855663565"
"0.0","0.0","0.0","1.0","1.0","0.4","0.48989794855663565"
"0.0","0.0","1.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","1.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","0.0","2.0","0.0","0.4","0.8"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","1.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","1.0","0.0","0.0","2.0","0.6","0.7999999999999999"
"0.0","0.0","0.0","0.0","2.0","0.4","0.8"
"0.0","2.0","0.0","0.0","0.0","0.4","0.8000000000000002"
"0.0","2.0","0.0","2.0","0.0","0.8","0.9797958971132713"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","1.0","0.2","0.4"
"0.0","0.0","1.0","0.0","3.0","0.8","1.1661903789690602"
"0.0","0.0","0.0","3.0","0.0","0.6","1.2"
"0.0","0.0","1.0","2.0","0.0","0.6","0.7999999999999999"
"0.0","0.0","0.0","5.0","0.0","1.0","2.0"
"0.0","1.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","2.0","0.0","0.0","0.0","0.4","0.8000000000000002"
"1.0","0.0","0.0","0.0","1.0","0.4","0.48989794855663565"
"1.0","0.0","0.0","1.0","0.0","0.4","0.48989794855663565"
"0.0","0.0","0.0","2.0","0.0","0.4","0.8"
"0.0","0.0","0.0","2.0","0.0","0.4","0.8"
