"PandaController_2019_08_11__07_58_24__024733gzfwxrhysh","PandaController_2019_08_11__10_19_04__127417bjsoeijqno","PandaController_2019_08_11__13_52_10__020172aunazfahtv","PandaController_2019_08_11__15_00_58__017286qhcugfzows","PandaController_2019_08_11__12_31_14__388038vpxtxvdzcw","Mean_over_grasps","Std_over_grasps"
"0.0","0.0","1.0","1.0","0.0","0.4","0.48989794855663565"
"1.0","0.0","0.0","1.0","0.0","0.4","0.48989794855663565"
"0.0","0.0","0.0","1.0","0.0","0.2","0.4"
"0.0","0.0","0.0","1.0","0.0","0.2","0.4"
"0.0","0.0","0.0","0.0","1.0","0.2","0.4"
"0.0","0.0","0.0","1.0","0.0","0.2","0.4"
"0.0","1.0","0.0","0.0","1.0","0.4","0.48989794855663565"
"1.0","2.0","0.0","0.0","0.0","0.6","0.7999999999999999"
"0.0","0.0","0.0","0.0","2.0","0.4","0.8"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","1.0","1.0","0.4","0.48989794855663565"
"0.0","2.0","0.0","1.0","0.0","0.6","0.7999999999999999"
"0.0","1.0","0.0","0.0","1.0","0.4","0.48989794855663565"
"0.0","0.0","0.0","0.0","1.0","0.2","0.4"
"0.0","3.0","0.0","0.0","1.0","0.8","1.1661903789690602"
"1.0","0.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"3.0","0.0","1.0","0.0","2.0","1.2","1.1661903789690602"
"1.0","0.0","1.0","1.0","0.0","0.6","0.48989794855663565"
"1.0","1.0","0.0","2.0","0.0","0.8","0.7483314773547883"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","1.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","1.0","0.0","0.2","0.4"
"0.0","0.0","0.0","1.0","0.0","0.2","0.4"
"0.0","0.0","0.0","3.0","0.0","0.6","1.2"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","1.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","1.0","0.0","0.2","0.4"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"1.0","0.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","2.0","0.0","0.4","0.8"
"0.0","0.0","0.0","1.0","0.0","0.2","0.4"
