"PandaController_2019_08_11__15_19_02__148767vjuribgiiz","PandaController_2019_08_11__15_19_34__478560dcxzbosnrv","PandaController_2019_08_11__15_34_38__360623vyziwdnqsj","PandaController_2019_08_11__15_36_11__029089ybyhkobuwk","PandaController_2019_08_11__15_41_05__262730fzyxnprhgl","Mean_over_grasps","Std_over_grasps"
"0.0","1.0","0.0","1.0","0.0","0.4","0.48989794855663565"
"0.0","1.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","1.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","1.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"1.0","0.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","1.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"1.0","0.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","0.0","0.0","1.0","0.2","0.4"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","1.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","1.0","1.0","0.0","0.4","0.48989794855663565"
"0.0","0.0","1.0","2.0","0.0","0.6","0.7999999999999999"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","1.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","1.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","1.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","0.0","0.0","1.0","0.2","0.4"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","1.0","0.2","0.4"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","1.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","1.0","0.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.0","0.0","1.0","0.0","0.0","0.2","0.4000000000000001"
"0.0","0.0","0.0","3.0","0.0","0.6","1.2"
"0.0","0.0","0.0","2.0","0.0","0.4","0.8"
"0.0","0.0","0.0","10.0","0.0","2.0","4.0"
"0.0","0.0","0.0","5.0","1.0","1.2","1.9390719429665315"
"0.0","0.0","0.0","8.0","0.0","1.6","3.2"
"0.0","1.0","0.0","10.0","0.0","2.2","3.919183588453085"
"0.0","1.0","0.0","10.0","0.0","2.2","3.919183588453085"
"0.0","0.0","0.0","12.0","0.0","2.4","4.8"
"0.0","0.0","0.0","10.0","0.0","2.0","4.0"
"0.0","0.0","0.0","6.0","2.0","1.6","2.3323807579381204"
"0.0","0.0","0.0","17.0","0.0","3.4","6.8"
"0.0","0.0","0.0","9.0","0.0","1.8","3.6"
"0.0","0.0","0.0","14.0","0.0","2.8","5.6"
"0.0","1.0","0.0","12.0","0.0","2.6","4.715930449020639"
"0.0","3.0","0.0","17.0","0.0","4.0","6.603029607687671"
"0.0","0.0","1.0","11.0","0.0","2.4","4.317406628984581"
"0.0","0.0","0.0","18.0","0.0","3.6","7.2"
"0.0","0.0","0.0","8.0","0.0","1.6","3.2"
"0.0","0.0","0.0","11.0","0.0","2.2","4.4"
"0.0","0.0","0.0","14.0","0.0","2.8","5.6"
"0.0","0.0","0.0","15.0","0.0","3.0","6.0"
"0.0","0.0","0.0","16.0","0.0","3.2","6.4"
"0.0","0.0","0.0","12.0","0.0","2.4","4.8"
"0.0","0.0","0.0","14.0","0.0","2.8","5.6"
