"PandaController_2019_08_11__08_22_13__165309nhlzdqdbhl","PandaController_2019_08_11__14_18_17__188334jzlipczgwe","PandaController_2019_08_11__11_30_38__945755wjtcehpbcy","PandaController_2019_08_11__13_23_12__851503oqrypyiuqc","PandaController_2019_08_11__15_12_46__701247ieqnuidezx","Mean_over_mean_grasp_times"
"nan","559.5","264.0","499.0","nan","440.8333333333333"
"169.5","nan","nan","nan","nan","169.5"
"nan","nan","622.5","nan","951.0","786.75"
"nan","nan","811.0","nan","141.0","476.0"
"nan","nan","nan","nan","nan","nan"
"894.0","nan","nan","nan","nan","894.0"
"nan","nan","nan","nan","814.0","814.0"
"410.0","nan","nan","394.0","nan","402.0"
"nan","nan","nan","nan","nan","nan"
"473.5","nan","nan","nan","nan","473.5"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","511.0","nan","511.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","560.0","nan","560.0"
"nan","nan","344.0","nan","nan","344.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","854.6666666666666","nan","854.6666666666666"
"nan","nan","nan","589.0","nan","589.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"522.0","nan","nan","nan","nan","522.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","704.0","704.0"
"nan","nan","nan","nan","nan","nan"
"278.0","nan","nan","nan","nan","278.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","960.0","nan","nan","603.0","781.5"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","422.0","422.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"296.0","nan","nan","nan","nan","296.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","268.0","nan","369.0","318.5"
"nan","nan","nan","nan","nan","nan"
"nan","350.0","nan","nan","883.0","616.5"
"nan","nan","nan","nan","nan","nan"
"nan","nan","667.0","nan","nan","667.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","511.0","nan","nan","910.0","710.5"
"nan","956.0","nan","nan","nan","956.0"
"nan","860.0","nan","nan","nan","860.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","423.0","423.0"
"nan","nan","nan","nan","191.0","191.0"
"nan","nan","nan","nan","710.0","710.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","167.0","167.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","763.0","763.0"
"nan","nan","nan","nan","264.0","264.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","433.5","433.5"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"805.0","nan","nan","nan","nan","805.0"
"743.0","nan","nan","nan","nan","743.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","510.0","nan","510.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","197.0","nan","197.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","751.0","nan","751.0"
"nan","nan","nan","303.5","nan","303.5"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","120.0","120.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","337.0","337.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"424.0","nan","nan","nan","nan","424.0"
"920.0","nan","nan","nan","nan","920.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","695.0","695.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"104.0","nan","nan","nan","nan","104.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","209.0","nan","nan","nan","209.0"
"nan","680.0","nan","nan","nan","680.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","664.0","nan","nan","nan","664.0"
"nan","571.4","nan","nan","nan","571.4"
"nan","336.0","nan","nan","nan","336.0"
"nan","335.54545454545456","nan","nan","nan","335.54545454545456"
