"PandaController_2019_07_11__04_22_12__463949axucqtuhun","PandaController_2019_07_11__07_52_35__792458blpwiaskud","PandaController_2019_08_11__08_38_47__735509zcglqsaenn","PandaController_2019_08_11__11_34_05__216181wrezbfoqef","PandaController_2019_08_11__13_28_46__876978roceimuexi","Mean_over_mean_grasp_times"
"224.5","nan","nan","nan","612.0","418.25"
"nan","nan","nan","755.0","286.0","520.5"
"272.0","nan","963.0","581.0","nan","605.3333333333334"
"104.0","nan","607.0","nan","739.5","483.5"
"nan","nan","nan","184.0","582.0","383.0"
"235.0","nan","nan","nan","226.66666666666666","230.83333333333331"
"nan","nan","nan","869.0","nan","869.0"
"nan","nan","318.0","nan","864.5","591.25"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","206.0","nan","260.0","nan","233.0"
"nan","nan","482.0","490.0","667.0","546.3333333333334"
"nan","486.5","nan","520.0","nan","503.25"
"nan","nan","nan","524.5","nan","524.5"
"nan","nan","nan","321.0","699.0","510.0"
"nan","nan","nan","513.0","899.0","706.0"
"nan","nan","437.0","nan","nan","437.0"
"nan","nan","804.0","nan","nan","804.0"
"nan","nan","nan","700.0","nan","700.0"
"nan","nan","nan","nan","nan","nan"
"nan","388.0","nan","nan","nan","388.0"
"nan","nan","nan","nan","nan","nan"
"nan","346.0","nan","nan","598.5","472.25"
"nan","nan","nan","nan","245.0","245.0"
"nan","800.0","nan","nan","nan","800.0"
"nan","449.0","nan","664.0","nan","556.5"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","879.0","879.0"
"nan","nan","148.0","nan","514.0","331.0"
"nan","nan","nan","275.6666666666667","nan","275.6666666666667"
"nan","nan","389.0","362.5","nan","375.75"
"nan","nan","nan","581.0","nan","581.0"
"nan","517.0","nan","nan","nan","517.0"
"nan","606.0","nan","nan","nan","606.0"
"542.0","nan","nan","nan","161.0","351.5"
"113.0","nan","nan","822.0","nan","467.5"
"nan","nan","nan","224.0","nan","224.0"
"nan","nan","nan","483.5","nan","483.5"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","804.5","nan","nan","nan","804.5"
"nan","634.3333333333334","nan","nan","nan","634.3333333333334"
"nan","831.0","nan","nan","nan","831.0"
"nan","565.0","nan","nan","nan","565.0"
"nan","602.5","nan","nan","nan","602.5"
"nan","574.8888888888889","376.0","nan","nan","475.44444444444446"
"nan","527.0","nan","nan","740.0","633.5"
"nan","478.09090909090907","nan","nan","nan","478.09090909090907"
"nan","530.0","872.0","nan","668.0","690.0"
"208.0","664.2","814.0","nan","441.0","531.8"
"nan","522.6666666666666","157.0","nan","nan","339.8333333333333"
"nan","587.0","nan","nan","nan","587.0"
"nan","632.0","326.5","nan","nan","479.25"
"nan","554.5","511.2857142857143","nan","nan","532.8928571428571"
"170.0","639.0","600.0","nan","nan","469.6666666666667"
"671.0","437.5","243.5","nan","421.0","443.25"
"nan","437.90909090909093","958.0","nan","914.0","769.969696969697"
"734.0","408.25","155.0","nan","403.0","425.0625"
"614.0","346.5","850.0","nan","nan","603.5"
"nan","335.0625","nan","nan","nan","335.0625"
"537.5","442.05882352941177","356.5","nan","nan","445.35294117647055"
"452.6","336.0","421.5","nan","nan","403.3666666666666"
"618.0","374.125","896.0","nan","nan","629.375"
"274.0","328.8709677419355","478.1666666666667","nan","nan","360.3458781362007"
"650.0","399.6842105263158","413.6666666666667","nan","nan","487.7836257309942"
"580.3333333333334","309.25925925925924","482.0","nan","nan","457.1975308641975"
"634.0","324.0344827586207","490.3333333333333","nan","nan","482.7892720306513"
"nan","353.6666666666667","669.6","nan","nan","511.6333333333333"
"nan","273.1666666666667","386.0","nan","nan","329.58333333333337"
"nan","303.8333333333333","272.75","nan","nan","288.29166666666663"
"nan","351.2173913043478","451.3333333333333","nan","nan","401.27536231884056"
"nan","320.2413793103448","601.8","nan","nan","461.0206896551724"
"nan","232.53571428571428","506.3333333333333","nan","nan","369.4345238095238"
"nan","270.775","445.77777777777777","nan","nan","358.27638888888885"
"nan","281.0243902439024","583.0","nan","nan","432.0121951219512"
"nan","240.7659574468085","550.3333333333334","nan","nan","395.54964539007096"
"nan","299.0285714285714","184.0","nan","nan","241.5142857142857"
"167.0","214.59649122807016","nan","nan","nan","190.79824561403507"
"nan","265.9428571428571","706.6666666666666","nan","nan","486.3047619047619"
"nan","217.09615384615384","429.6666666666667","nan","nan","323.3814102564103"
"nan","247.2941176470588","298.0","nan","534.5","359.9313725490196"
"nan","190.94915254237287","nan","nan","512.0","351.47457627118644"
"nan","248.95454545454547","839.0","nan","nan","543.9772727272727"
"nan","227.875","658.0","nan","nan","442.9375"
"nan","215.64705882352942","758.5","nan","nan","487.0735294117647"
"nan","219.33333333333334","627.25","nan","nan","423.2916666666667"
"nan","253.30612244897958","361.25","nan","nan","307.27806122448976"
"294.0","184.5909090909091","827.0","nan","nan","435.1969696969697"
"nan","220.70909090909092","671.0","nan","nan","445.8545454545455"
"nan","228.19230769230768","592.5","nan","nan","410.3461538461538"
"nan","225.1509433962264","nan","nan","nan","225.1509433962264"
"nan","213.18","nan","nan","nan","213.18"
"268.0","242.06","nan","nan","nan","255.03"
