"PandaController_2019_07_11__12_38_56__003753pjrlfmwpaq","PandaController_2019_08_11__08_44_15__029093xujaljzgvp","PandaController_2019_08_11__13_43_29__538220tchgjwbcpz","PandaController_2019_08_11__14_54_44__896737sajfowubaj","PandaController_2019_08_11__12_01_14__539129fwkiflmbhc","Mean_over_mean_grasp_times"
"827.0","375.0","nan","738.0","927.0","716.75"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"837.0","nan","nan","nan","nan","837.0"
"781.0","nan","nan","nan","nan","781.0"
"913.0","98.0","nan","nan","886.0","632.3333333333334"
"nan","407.0","nan","544.0","nan","475.5"
"nan","451.0","nan","nan","nan","451.0"
"584.0","nan","nan","nan","nan","584.0"
"nan","nan","nan","nan","nan","nan"
"nan","114.0","nan","614.0","nan","364.0"
"nan","nan","nan","nan","nan","nan"
"nan","126.0","nan","nan","nan","126.0"
"nan","nan","nan","793.0","nan","793.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","255.0","nan","nan","nan","255.0"
"nan","461.0","nan","nan","nan","461.0"
"nan","643.0","nan","nan","nan","643.0"
"nan","nan","nan","nan","nan","nan"
"165.0","nan","nan","nan","nan","165.0"
"nan","305.0","nan","nan","704.0","504.5"
"nan","598.0","169.0","nan","nan","383.5"
"nan","nan","101.0","nan","nan","101.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","104.0","nan","nan","104.0"
"nan","nan","nan","651.0","nan","651.0"
"nan","nan","nan","95.0","447.0","271.0"
"nan","nan","nan","226.0","nan","226.0"
"nan","698.0","nan","107.0","nan","402.5"
"nan","nan","nan","nan","735.0","735.0"
"nan","nan","809.0","nan","nan","809.0"
"nan","nan","nan","nan","433.5","433.5"
"nan","314.0","nan","nan","nan","314.0"
"nan","427.0","nan","nan","nan","427.0"
"nan","nan","573.0","nan","nan","573.0"
"nan","416.0","nan","938.0","nan","677.0"
"nan","nan","423.0","707.0","872.0","667.3333333333334"
"nan","nan","nan","440.0","nan","440.0"
"nan","304.3333333333333","nan","nan","nan","304.3333333333333"
"nan","nan","nan","nan","nan","nan"
"nan","193.0","nan","nan","nan","193.0"
"nan","nan","54.0","nan","nan","54.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","516.0","nan","nan","516.0"
"nan","nan","nan","nan","nan","nan"
"nan","243.0","nan","nan","nan","243.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","828.0","nan","nan","828.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","829.0","829.0"
"nan","273.5","nan","nan","nan","273.5"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","783.0","nan","nan","783.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","135.0","nan","135.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","67.0","nan","nan","67.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","51.0","nan","nan","51.0"
"nan","85.0","nan","nan","nan","85.0"
"nan","490.0","nan","nan","nan","490.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","989.0","117.0","nan","553.0"
"nan","nan","248.0","nan","nan","248.0"
"nan","nan","815.0","nan","nan","815.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","847.0","nan","nan","847.0"
"nan","nan","nan","nan","nan","nan"
