"PandaController_2019_08_11__07_01_34__167031hpgggtlboa","PandaController_2019_08_11__10_10_55__066820irbqdccwic","PandaController_2019_08_11__13_45_46__951166yonbfuxuse","PandaController_2019_08_11__15_00_58__016745rvhfwqxqpa","PandaController_2019_08_11__12_19_54__819248lvmwilclox","Mean_over_mean_grasp_times"
"584.0","677.0","nan","nan","nan","630.5"
"596.0","nan","nan","nan","646.5","621.25"
"100.0","nan","nan","nan","nan","100.0"
"nan","912.0","nan","nan","nan","912.0"
"nan","422.6666666666667","nan","nan","231.0","326.83333333333337"
"nan","nan","nan","nan","nan","nan"
"nan","136.0","nan","nan","nan","136.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"530.0","916.0","nan","113.0","nan","519.6666666666666"
"nan","nan","nan","nan","243.5","243.5"
"nan","nan","nan","nan","752.0","752.0"
"nan","nan","nan","nan","682.3333333333334","682.3333333333334"
"nan","nan","nan","nan","460.0","460.0"
"nan","nan","nan","nan","694.4","694.4"
"nan","nan","nan","nan","611.25","611.25"
"nan","nan","nan","nan","492.0","492.0"
"nan","nan","nan","nan","760.0","760.0"
"nan","126.0","nan","nan","733.3333333333334","429.6666666666667"
"nan","nan","nan","nan","405.0","405.0"
"nan","nan","nan","nan","591.5","591.5"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","404.0","404.0"
"110.0","nan","nan","nan","643.1666666666666","376.5833333333333"
"nan","nan","nan","nan","516.0","516.0"
"nan","nan","nan","nan","298.75","298.75"
"nan","nan","nan","598.0","nan","598.0"
"175.0","nan","nan","nan","nan","175.0"
"nan","nan","nan","nan","989.0","989.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","101.0","nan","nan","nan","101.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","453.5","453.5"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","97.0","nan","nan","127.0","112.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"157.0","124.0","nan","71.0","nan","117.33333333333333"
"nan","nan","nan","104.0","nan","104.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","106.0","nan","nan","nan","106.0"
"101.0","104.0","nan","nan","nan","102.5"
"nan","nan","nan","nan","nan","nan"
"50.0","111.0","nan","nan","nan","80.5"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"430.0","nan","nan","nan","nan","430.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","75.0","nan","nan","nan","75.0"
"nan","nan","nan","nan","nan","nan"
"nan","132.66666666666666","nan","nan","nan","132.66666666666666"
"nan","nan","nan","nan","nan","nan"
"nan","107.0","nan","nan","nan","107.0"
"nan","137.0","nan","nan","nan","137.0"
"nan","126.5","nan","nan","nan","126.5"
"nan","327.0","nan","nan","nan","327.0"
"nan","124.25","nan","nan","nan","124.25"
"898.0","183.0","nan","nan","nan","540.5"
"nan","nan","nan","nan","nan","nan"
"nan","106.0","nan","nan","nan","106.0"
"nan","nan","nan","nan","nan","nan"
"nan","145.5","nan","nan","nan","145.5"
"nan","486.0","nan","nan","nan","486.0"
"nan","824.0","nan","nan","nan","824.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","195.0","nan","nan","nan","195.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","84.0","nan","nan","nan","84.0"
"nan","132.5","nan","nan","nan","132.5"
"nan","nan","nan","nan","nan","nan"
"nan","173.0","nan","nan","nan","173.0"
"nan","244.0","nan","nan","nan","244.0"
"nan","101.0","nan","nan","nan","101.0"
"nan","111.0","nan","nan","nan","111.0"
"nan","nan","nan","nan","nan","nan"
"nan","169.0","nan","nan","nan","169.0"
"nan","106.0","nan","nan","nan","106.0"
"nan","nan","nan","nan","nan","nan"
"nan","372.0","nan","nan","nan","372.0"
"nan","210.0","nan","nan","nan","210.0"
"nan","167.0","nan","nan","nan","167.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","118.0","nan","nan","nan","118.0"
"nan","109.66666666666667","nan","nan","nan","109.66666666666667"
"nan","104.0","nan","nan","nan","104.0"
"nan","87.0","nan","nan","nan","87.0"
"131.0","131.0","nan","nan","nan","131.0"
"341.0","nan","nan","nan","nan","341.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","119.66666666666667","nan","nan","nan","119.66666666666667"
"nan","141.0","nan","nan","nan","141.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","92.0","nan","nan","nan","92.0"
"nan","nan","nan","nan","nan","nan"
"nan","122.5","nan","nan","nan","122.5"
"nan","nan","nan","nan","nan","nan"
"nan","96.0","nan","nan","164.0","130.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","141.0","nan","nan","nan","141.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","187.0","nan","nan","nan","187.0"
"nan","nan","nan","nan","nan","nan"
"nan","104.0","nan","nan","nan","104.0"
"nan","nan","nan","nan","nan","nan"
"nan","436.3333333333333","nan","nan","nan","436.3333333333333"
"nan","873.0","nan","nan","nan","873.0"
"nan","567.5","nan","nan","145.0","356.25"
"nan","nan","nan","nan","nan","nan"
"nan","105.0","nan","nan","198.0","151.5"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","212.0","nan","nan","nan","212.0"
"nan","894.0","nan","nan","nan","894.0"
"nan","nan","nan","nan","nan","nan"
"nan","138.0","nan","nan","nan","138.0"
"nan","nan","nan","nan","nan","nan"
"nan","548.0","nan","nan","nan","548.0"
"nan","152.0","nan","nan","nan","152.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","392.0","nan","nan","nan","392.0"
"nan","nan","nan","nan","nan","nan"
"nan","103.0","nan","nan","nan","103.0"
"nan","132.0","nan","nan","nan","132.0"
"nan","182.0","nan","nan","123.0","152.5"
"nan","147.0","nan","nan","nan","147.0"
"nan","nan","nan","nan","nan","nan"
"nan","568.0","nan","nan","nan","568.0"
"nan","406.0","nan","nan","nan","406.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","515.75","nan","nan","nan","515.75"
"nan","448.25","nan","nan","nan","448.25"
"nan","587.0","nan","nan","nan","587.0"
"nan","126.0","nan","nan","nan","126.0"
"nan","382.5","nan","nan","nan","382.5"
"nan","122.33333333333333","nan","nan","nan","122.33333333333333"
"nan","nan","nan","nan","nan","nan"
"nan","179.0","nan","nan","nan","179.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","115.0","nan","nan","nan","115.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","79.0","nan","nan","nan","79.0"
"nan","178.0","nan","nan","nan","178.0"
"nan","nan","nan","nan","nan","nan"
"nan","85.0","nan","nan","nan","85.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","125.0","nan","nan","nan","125.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","113.5","nan","nan","nan","113.5"
"nan","144.0","nan","nan","nan","144.0"
"nan","138.0","nan","nan","nan","138.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","101.0","nan","nan","151.0","126.0"
"nan","146.0","nan","nan","nan","146.0"
"nan","117.0","nan","nan","nan","117.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","109.66666666666667","nan","nan","nan","109.66666666666667"
"nan","nan","nan","nan","nan","nan"
"nan","116.0","nan","nan","nan","116.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","157.0","nan","nan","nan","157.0"
"nan","138.0","nan","nan","nan","138.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","94.0","nan","nan","151.0","122.5"
"nan","103.0","nan","nan","nan","103.0"
"nan","nan","nan","nan","nan","nan"
"nan","155.0","nan","nan","nan","155.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","111.0","nan","nan","nan","111.0"
"nan","79.0","nan","nan","nan","79.0"
"nan","nan","nan","nan","nan","nan"
