"PandaController_2019_08_11__07_58_24__024733gzfwxrhysh","PandaController_2019_08_11__10_19_04__127417bjsoeijqno","PandaController_2019_08_11__13_52_10__020172aunazfahtv","PandaController_2019_08_11__15_00_58__017286qhcugfzows","PandaController_2019_08_11__12_31_14__388038vpxtxvdzcw","Mean_over_mean_grasp_times"
"nan","nan","526.0","85.0","nan","305.5"
"328.0","nan","nan","140.0","nan","234.0"
"nan","nan","nan","208.0","nan","208.0"
"nan","nan","nan","611.0","nan","611.0"
"nan","nan","nan","nan","728.0","728.0"
"nan","nan","nan","669.0","nan","669.0"
"nan","604.0","nan","nan","962.0","783.0"
"283.0","597.0","nan","nan","nan","440.0"
"nan","nan","nan","nan","385.5","385.5"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","236.0","814.0","525.0"
"nan","601.0","nan","448.0","nan","524.5"
"nan","423.0","nan","nan","158.0","290.5"
"nan","nan","nan","nan","129.0","129.0"
"nan","679.3333333333334","nan","nan","461.0","570.1666666666667"
"703.0","nan","nan","nan","nan","703.0"
"698.3333333333334","nan","506.0","nan","576.5","593.6111111111112"
"367.0","nan","274.0","353.0","nan","331.3333333333333"
"314.0","225.0","nan","320.0","nan","286.3333333333333"
"nan","nan","nan","nan","nan","nan"
"nan","350.0","nan","nan","nan","350.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","91.0","nan","91.0"
"nan","nan","nan","255.0","nan","255.0"
"nan","nan","nan","856.3333333333334","nan","856.3333333333334"
"nan","nan","nan","nan","nan","nan"
"nan","358.0","nan","nan","nan","358.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","875.0","nan","875.0"
"nan","nan","nan","nan","nan","nan"
"977.0","nan","nan","nan","nan","977.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","253.5","nan","253.5"
"nan","nan","nan","446.0","nan","446.0"
"nan","nan","nan","240.0","nan","240.0"
"nan","773.0","nan","nan","nan","773.0"
"nan","nan","nan","542.5","nan","542.5"
"nan","nan","nan","353.0","nan","353.0"
"635.0","nan","nan","616.0","nan","625.5"
"nan","nan","nan","566.5","nan","566.5"
"nan","nan","nan","816.0","nan","816.0"
"683.0","nan","nan","nan","268.0","475.5"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","490.0","261.0","375.5"
"nan","nan","nan","432.0","nan","432.0"
"nan","nan","nan","920.0","nan","920.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","690.0","nan","nan","690.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","601.0","nan","nan","601.0"
"nan","nan","690.0","nan","nan","690.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","305.0","nan","nan","305.0"
"nan","nan","nan","nan","nan","nan"
"645.0","nan","429.0","nan","nan","537.0"
"nan","nan","nan","nan","nan","nan"
"883.0","nan","nan","nan","290.0","586.5"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","457.0","nan","457.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","504.0","nan","nan","504.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","981.0","nan","nan","nan","981.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","755.0","nan","nan","nan","755.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","784.0","nan","nan","651.0","717.5"
"nan","326.0","nan","nan","nan","326.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","705.0","705.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","830.0","830.0"
"nan","nan","nan","nan","506.42857142857144","506.42857142857144"
"nan","nan","nan","nan","509.0","509.0"
"nan","nan","nan","nan","489.6666666666667","489.6666666666667"
"486.0","nan","nan","nan","367.0","426.5"
"nan","nan","nan","nan","461.3333333333333","461.3333333333333"
"nan","nan","nan","nan","339.0","339.0"
"nan","nan","nan","nan","482.2","482.2"
"nan","nan","nan","nan","422.64285714285717","422.64285714285717"
"nan","nan","nan","nan","360.9375","360.9375"
"nan","nan","nan","nan","429.5263157894737","429.5263157894737"
"nan","nan","nan","nan","369.23809523809524","369.23809523809524"
"nan","nan","nan","nan","376.52941176470586","376.52941176470586"
"82.0","nan","nan","nan","441.22222222222223","261.6111111111111"
"nan","nan","nan","nan","292.8","292.8"
"nan","nan","nan","nan","511.07142857142856","511.07142857142856"
"nan","nan","nan","nan","434.8333333333333","434.8333333333333"
"856.0","nan","nan","nan","417.72222222222223","636.8611111111111"
"506.0","nan","nan","nan","332.4736842105263","419.2368421052631"
"nan","nan","nan","nan","315.89285714285717","315.89285714285717"
"nan","nan","nan","nan","330.0","330.0"
"225.0","nan","nan","nan","411.11764705882354","318.05882352941177"
"nan","nan","nan","nan","389.8333333333333","389.8333333333333"
"nan","nan","nan","626.5","295.3","460.9"
"nan","nan","338.0","273.0","315.2","308.73333333333335"
"nan","nan","nan","426.0","318.0344827586207","372.01724137931035"
"nan","nan","nan","427.4","288.74074074074076","358.07037037037037"
"nan","nan","nan","527.75","338.09090909090907","432.9204545454545"
"nan","nan","nan","502.6","265.5151515151515","384.05757575757576"
"nan","nan","nan","372.25","198.54545454545453","285.39772727272725"
"240.0","nan","nan","636.1666666666666","327.04347826086956","401.07004830917873"
"799.0","nan","nan","508.6666666666667","381.47058823529414","563.0457516339869"
"895.0","nan","nan","266.4","286.96153846153845","482.78717948717957"
"415.5","nan","nan","358.6666666666667","381.0","385.0555555555556"
"710.0","nan","nan","476.55555555555554","385.1363636363636","523.8973063973064"
"464.75","nan","nan","434.1111111111111","332.06666666666666","410.30925925925925"
"nan","nan","nan","489.7","276.7878787878788","383.2439393939394"
"nan","nan","nan","466.89473684210526","233.4848484848485","350.18979266347685"
"911.0","824.0","nan","481.3333333333333","261.45238095238096","619.4464285714287"
"nan","nan","nan","401.58620689655174","268.02941176470586","334.8078093306288"
"nan","nan","nan","393.82142857142856","336.5925925925926","365.2070105820106"
"754.0","nan","nan","324.1470588235294","287.0285714285714","455.05854341736693"
"602.5714285714286","nan","711.0","390.7857142857143","264.02777777777777","492.0962301587301"
"418.6666666666667","nan","nan","423.8888888888889","244.2340425531915","362.2631993695824"
"513.3333333333334","173.0","nan","382.8125","238.125","326.81770833333337"
"290.3333333333333","173.0","nan","399.5925925925926","279.0","285.48148148148147"
"560.3","605.5","nan","382.2413793103448","234.22727272727272","445.5671630094044"
"450.90909090909093","nan","nan","342.1714285714286","241.90697674418604","344.9958320749019"
"400.2","213.0","nan","307.28205128205127","230.72549019607843","287.80188536953244"
"444.3888888888889","nan","nan","302.375","224.88235294117646","323.8820806100218"
"361.0","nan","nan","280.6190476190476","238.08333333333334","293.234126984127"
"427.2857142857143","483.0","nan","247.29787234042553","176.20689655172413","333.447620794466"
"618.5555555555555","nan","nan","292.4390243902439","233.875","381.62319331526646"
"469.5625","nan","nan","228.75","294.8666666666667","331.0597222222222"
"497.75","nan","nan","255.7659574468085","256.3333333333333","336.61643026004725"
"481.6818181818182","nan","nan","236.52083333333334","254.375","324.1925505050505"
"400.5357142857143","nan","nan","282.54761904761904","229.46808510638297","304.18380614657207"
"374.42424242424244","nan","nan","267.26190476190476","196.19298245614036","279.29304321409586"
"322.7567567567568","nan","nan","251.10416666666666","198.3921568627451","257.4176934287228"
"291.3488372093023","nan","nan","267.09302325581393","140.8148148148148","233.08555842664364"
"264.29787234042556","nan","nan","229.75471698113208","179.3050847457627","224.45255802244014"
"283.4418604651163","nan","nan","262.06666666666666","246.48837209302326","263.99896640826876"
"303.575","nan","544.0","290.0731707317073","185.28571428571428","330.7334712543554"
"284.16279069767444","nan","nan","234.22","175.33333333333334","231.23870801033593"
"367.25","nan","nan","220.75925925925927","180.44642857142858","256.1518959435626"
