"PandaController_2019_08_11__15_19_02__148767vjuribgiiz","PandaController_2019_08_11__15_19_34__478560dcxzbosnrv","PandaController_2019_08_11__15_34_38__360623vyziwdnqsj","PandaController_2019_08_11__15_36_11__029089ybyhkobuwk","PandaController_2019_08_11__15_41_05__262730fzyxnprhgl","Mean_over_mean_grasp_times"
"nan","120.0","nan","255.0","nan","187.5"
"nan","458.0","nan","nan","nan","458.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","195.0","nan","nan","nan","195.0"
"nan","nan","nan","nan","nan","nan"
"nan","161.0","nan","nan","nan","161.0"
"827.0","nan","nan","nan","nan","827.0"
"nan","nan","nan","nan","nan","nan"
"nan","195.0","nan","nan","nan","195.0"
"120.0","nan","nan","nan","nan","120.0"
"nan","nan","nan","nan","604.0","604.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","923.0","nan","nan","923.0"
"nan","nan","407.0","658.0","nan","532.5"
"nan","nan","772.0","775.0","nan","773.5"
"nan","nan","nan","nan","nan","nan"
"nan","477.0","nan","nan","nan","477.0"
"nan","nan","968.0","nan","nan","968.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","283.0","nan","nan","nan","283.0"
"nan","nan","nan","nan","335.0","335.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","577.0","577.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","135.0","nan","nan","nan","135.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","327.0","nan","nan","nan","327.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","966.0","nan","nan","966.0"
"nan","nan","nan","451.0","nan","451.0"
"nan","nan","nan","636.0","nan","636.0"
"nan","nan","nan","544.0","nan","544.0"
"nan","nan","nan","443.0","543.0","493.0"
"nan","nan","nan","478.125","nan","478.125"
"nan","622.0","nan","379.8","nan","500.9"
"nan","674.0","nan","439.4","nan","556.7"
"nan","nan","nan","420.5","nan","420.5"
"nan","nan","nan","302.3","nan","302.3"
"nan","nan","nan","434.6666666666667","497.0","465.83333333333337"
"nan","nan","nan","323.5882352941176","nan","323.5882352941176"
"nan","nan","nan","436.1111111111111","nan","436.1111111111111"
"nan","nan","nan","375.7142857142857","nan","375.7142857142857"
"nan","256.0","nan","450.3333333333333","nan","353.16666666666663"
"nan","608.6666666666666","nan","305.52941176470586","nan","457.09803921568624"
"nan","nan","717.0","388.90909090909093","nan","552.9545454545455"
"nan","nan","nan","364.94444444444446","nan","364.94444444444446"
"nan","nan","nan","363.0","nan","363.0"
"nan","nan","nan","445.0","nan","445.0"
"nan","nan","nan","318.0","nan","318.0"
"nan","nan","nan","340.46666666666664","nan","340.46666666666664"
"nan","nan","nan","409.5","nan","409.5"
"nan","nan","nan","281.5","nan","281.5"
"nan","nan","nan","379.2857142857143","nan","379.2857142857143"
"nan","nan","nan","402.125","nan","402.125"
"nan","nan","nan","284.0833333333333","nan","284.0833333333333"
"nan","nan","nan","256.25","nan","256.25"
"nan","nan","nan","316.7647058823529","nan","316.7647058823529"
"nan","156.0","nan","273.47058823529414","730.0","386.4901960784314"
"nan","126.0","nan","321.4736842105263","nan","223.73684210526315"
"nan","nan","nan","300.0625","nan","300.0625"
"nan","nan","nan","262.69565217391306","nan","262.69565217391306"
"nan","nan","476.0","294.2352941176471","nan","385.11764705882354"
"nan","nan","nan","321.0","nan","321.0"
"nan","136.0","nan","272.14285714285717","nan","204.07142857142858"
"nan","nan","nan","255.8","nan","255.8"
"nan","nan","nan","274.5217391304348","nan","274.5217391304348"
"nan","nan","nan","232.1818181818182","nan","232.1818181818182"
"nan","nan","nan","333.52941176470586","nan","333.52941176470586"
"nan","nan","nan","374.29411764705884","nan","374.29411764705884"
"nan","nan","nan","350.06666666666666","nan","350.06666666666666"
"nan","nan","nan","229.26315789473685","nan","229.26315789473685"
"nan","nan","nan","347.3333333333333","nan","347.3333333333333"
"nan","104.0","nan","289.93333333333334","nan","196.96666666666667"
"nan","nan","nan","299.1666666666667","nan","299.1666666666667"
"nan","741.0","nan","300.5","nan","520.75"
"nan","421.0","nan","237.72","nan","329.36"
"nan","nan","nan","283.25","nan","283.25"
"nan","134.0","nan","285.57142857142856","nan","209.78571428571428"
"nan","319.5","nan","269.76","nan","294.63"
"nan","399.0","nan","256.05","nan","327.525"
"nan","nan","nan","324.3","nan","324.3"
"181.0","nan","nan","253.24","nan","217.12"
"nan","nan","nan","298.0","nan","298.0"
"nan","nan","nan","307.5882352941176","nan","307.5882352941176"
"nan","nan","nan","250.11764705882354","nan","250.11764705882354"
"nan","nan","nan","216.0","nan","216.0"
"270.0","nan","nan","295.2142857142857","nan","282.6071428571429"
"nan","nan","nan","299.93333333333334","nan","299.93333333333334"
"nan","nan","nan","246.38888888888889","nan","246.38888888888889"
"nan","nan","nan","354.22222222222223","nan","354.22222222222223"
"nan","nan","nan","345.1333333333333","nan","345.1333333333333"
"nan","nan","nan","321.05882352941177","nan","321.05882352941177"
"nan","nan","nan","310.4","nan","310.4"
"nan","nan","nan","351.3888888888889","nan","351.3888888888889"
"nan","nan","nan","410.6363636363636","nan","410.6363636363636"
"nan","nan","nan","368.8666666666667","nan","368.8666666666667"
"nan","nan","nan","348.26666666666665","nan","348.26666666666665"
"nan","nan","nan","423.84615384615387","nan","423.84615384615387"
"nan","nan","nan","375.8181818181818","nan","375.8181818181818"
"204.0","nan","nan","398.53333333333336","nan","301.26666666666665"
"213.0","nan","nan","299.7","nan","256.35"
"202.0","nan","nan","326.6923076923077","nan","264.3461538461538"
"nan","nan","nan","275.0","nan","275.0"
"nan","nan","nan","494.4","nan","494.4"
"nan","nan","nan","318.73333333333335","nan","318.73333333333335"
"201.0","nan","nan","316.95","nan","258.975"
"nan","nan","nan","286.10526315789474","nan","286.10526315789474"
"nan","nan","nan","229.30769230769232","nan","229.30769230769232"
"nan","nan","nan","338.88235294117646","nan","338.88235294117646"
"nan","nan","nan","279.8125","nan","279.8125"
"nan","nan","nan","265.6842105263158","nan","265.6842105263158"
"nan","nan","nan","291.73333333333335","nan","291.73333333333335"
"nan","nan","nan","287.25","nan","287.25"
"767.0","nan","nan","324.5","nan","545.75"
"nan","nan","nan","252.8","nan","252.8"
"nan","nan","nan","489.6","nan","489.6"
"nan","nan","nan","290.72222222222223","nan","290.72222222222223"
"nan","nan","nan","286.2857142857143","nan","286.2857142857143"
