"PandaController_2019_08_11__08_04_58__393007hxyxtsccdq","PandaController_2019_08_11__13_55_26__657195mgnbwmrojj","PandaController_2019_08_11__12_36_13__436324samooyzimr","PandaController_2019_08_11__10_24_16__386007rccdsolgrx","PandaController_2019_08_11__15_05_58__438692vdfgieeigo","Mean_over_mean_grasp_times"
"735.0","nan","nan","nan","470.0","602.5"
"nan","nan","nan","550.0","nan","550.0"
"nan","nan","nan","nan","494.0","494.0"
"172.5","nan","785.0","124.0","nan","360.5"
"nan","nan","nan","nan","121.0","121.0"
"nan","nan","nan","nan","nan","nan"
"137.0","nan","422.0","541.0","682.5","445.625"
"71.0","nan","nan","nan","nan","71.0"
"nan","nan","nan","904.0","nan","904.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","358.0","276.0","nan","317.0"
"nan","204.0","nan","nan","671.0","437.5"
"nan","402.0","nan","nan","nan","402.0"
"nan","nan","754.0","nan","nan","754.0"
"nan","95.0","nan","nan","nan","95.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","188.0","148.0","nan","168.0"
"nan","nan","nan","578.0","nan","578.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","559.0","nan","559.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","105.0","105.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","222.0","nan","nan","nan","222.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","93.0","nan","93.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","127.0","nan","127.0"
"nan","nan","nan","nan","262.0","262.0"
"nan","nan","140.0","nan","621.0","380.5"
"nan","nan","143.66666666666666","nan","nan","143.66666666666666"
"nan","nan","111.0","nan","249.0","180.0"
"nan","nan","377.0","nan","482.0","429.5"
"nan","nan","nan","nan","752.5","752.5"
"543.0","nan","nan","nan","224.0","383.5"
"nan","nan","nan","220.0","nan","220.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","718.0","718.0"
"nan","nan","nan","nan","269.0","269.0"
"nan","nan","nan","nan","68.0","68.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","162.0","nan","162.0"
"nan","nan","nan","264.0","nan","264.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","102.0","nan","102.0"
"nan","nan","49.0","125.0","nan","87.0"
"nan","nan","nan","155.0","nan","155.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","130.0","nan","130.0"
"nan","nan","nan","nan","123.0","123.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","173.0","nan","nan","nan","173.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
