"Updates","params_6","params_10","params_3","params_9","params_7","params_1","params_4","params_8","params_2","params_5"
"10.0","187.5","440.8333333333333","351.25","635.0","602.5","418.25","630.5","998.0","716.75","305.5"
"20.0","458.0","169.5","nan","355.0","550.0","520.5","621.25","311.6666666666667","nan","234.0"
"30.0","nan","786.75","415.0","166.0","494.0","605.3333333333334","100.0","582.0","nan","208.0"
"40.0","nan","476.0","331.0","481.5","360.5","483.5","912.0","nan","nan","611.0"
"50.0","195.0","nan","nan","769.0","121.0","383.0","326.83333333333337","194.0","nan","728.0"
"60.0","nan","894.0","nan","471.5","nan","230.83333333333331","nan","nan","nan","669.0"
"70.0","161.0","814.0","nan","nan","445.625","869.0","136.0","nan","837.0","783.0"
"80.0","827.0","402.0","nan","939.0","71.0","591.25","nan","nan","781.0","440.0"
"90.0","nan","nan","nan","282.0","904.0","nan","nan","nan","632.3333333333334","385.5"
"100.0","195.0","473.5","nan","nan","nan","nan","nan","nan","475.5","nan"
"110.0","120.0","nan","nan","624.0","317.0","233.0","nan","nan","451.0","525.0"
"120.0","604.0","511.0","nan","466.0","437.5","546.3333333333334","nan","nan","584.0","524.5"
"130.0","nan","nan","nan","nan","402.0","503.25","519.6666666666666","77.0","nan","290.5"
"140.0","923.0","nan","414.0","nan","754.0","524.5","243.5","199.0","364.0","129.0"
"150.0","532.5","560.0","129.0","156.0","95.0","510.0","752.0","483.0","nan","570.1666666666667"
"160.0","773.5","344.0","nan","nan","nan","706.0","682.3333333333334","nan","126.0","703.0"
"170.0","nan","nan","249.0","nan","nan","437.0","460.0","nan","793.0","593.6111111111112"
"180.0","477.0","nan","nan","nan","nan","804.0","694.4","nan","nan","331.3333333333333"
"190.0","968.0","854.6666666666666","nan","106.0","168.0","700.0","611.25","nan","nan","286.3333333333333"
"200.0","nan","589.0","nan","nan","578.0","nan","492.0","356.5","nan","nan"
"210.0","nan","nan","nan","nan","nan","388.0","760.0","nan","255.0","350.0"
"220.0","283.0","nan","nan","nan","559.0","nan","429.6666666666667","nan","461.0","nan"
"230.0","335.0","nan","nan","172.0","nan","472.25","405.0","nan","643.0","nan"
"240.0","nan","522.0","nan","nan","nan","245.0","591.5","nan","nan","nan"
"250.0","577.0","nan","nan","nan","nan","800.0","nan","nan","165.0","91.0"
"260.0","nan","nan","nan","nan","nan","556.5","404.0","53.0","504.5","255.0"
"270.0","nan","nan","nan","nan","105.0","nan","376.5833333333333","nan","383.5","856.3333333333334"
"280.0","nan","nan","nan","nan","nan","879.0","516.0","nan","101.0","nan"
"290.0","135.0","nan","nan","65.0","nan","331.0","298.75","722.0","nan","358.0"
"300.0","nan","704.0","nan","nan","nan","275.6666666666667","598.0","nan","104.0","nan"
"310.0","nan","nan","nan","nan","222.0","375.75","175.0","532.5","651.0","nan"
"320.0","nan","278.0","nan","nan","nan","581.0","989.0","nan","271.0","nan"
"330.0","nan","nan","nan","86.0","nan","517.0","nan","nan","226.0","nan"
"340.0","327.0","nan","nan","49.0","93.0","606.0","nan","nan","402.5","nan"
"350.0","nan","nan","nan","nan","nan","351.5","nan","nan","735.0","nan"
"360.0","nan","nan","nan","nan","nan","467.5","nan","547.0","809.0","nan"
"370.0","966.0","nan","nan","nan","127.0","224.0","nan","444.0","433.5","875.0"
"380.0","451.0","nan","nan","nan","262.0","483.5","101.0","nan","314.0","nan"
"390.0","636.0","nan","nan","nan","380.5","nan","nan","nan","427.0","977.0"
"400.0","544.0","781.5","nan","nan","143.66666666666666","nan","nan","nan","573.0","nan"
"410.0","493.0","nan","nan","nan","180.0","nan","453.5","nan","677.0","nan"
"420.0","478.125","nan","nan","nan","429.5","nan","nan","nan","667.3333333333334","nan"
"430.0","500.9","nan","nan","nan","752.5","804.5","nan","nan","440.0","253.5"
"440.0","556.7","nan","nan","nan","383.5","634.3333333333334","112.0","nan","304.3333333333333","446.0"
"450.0","420.5","nan","nan","nan","220.0","831.0","nan","nan","nan","240.0"
"460.0","302.3","nan","nan","nan","nan","565.0","nan","nan","193.0","773.0"
"470.0","465.83333333333337","nan","nan","nan","nan","602.5","nan","nan","54.0","542.5"
"480.0","323.5882352941176","nan","nan","nan","718.0","475.44444444444446","117.33333333333333","nan","nan","353.0"
"490.0","436.1111111111111","nan","nan","nan","269.0","633.5","104.0","nan","516.0","625.5"
"500.0","375.7142857142857","422.0","nan","nan","68.0","478.09090909090907","nan","nan","nan","566.5"
"510.0","353.16666666666663","nan","nan","nan","nan","690.0","nan","nan","243.0","816.0"
"520.0","457.09803921568624","nan","nan","nan","nan","531.8","nan","nan","nan","475.5"
"530.0","552.9545454545455","nan","nan","nan","nan","339.8333333333333","106.0","nan","828.0","nan"
"540.0","364.94444444444446","nan","nan","nan","nan","587.0","102.5","nan","nan","375.5"
"550.0","363.0","nan","nan","nan","nan","479.25","nan","nan","nan","432.0"
"560.0","445.0","nan","nan","115.0","nan","532.8928571428571","80.5","nan","829.0","920.0"
"570.0","318.0","nan","nan","nan","nan","469.6666666666667","nan","nan","273.5","nan"
"580.0","340.46666666666664","296.0","nan","nan","nan","443.25","nan","nan","nan","nan"
"590.0","409.5","nan","nan","nan","nan","769.969696969697","nan","nan","nan","nan"
"600.0","281.5","nan","nan","nan","nan","425.0625","430.0","nan","nan","nan"
"610.0","379.2857142857143","nan","nan","nan","nan","603.5","nan","nan","783.0","nan"
"620.0","402.125","nan","nan","nan","nan","335.0625","nan","nan","nan","nan"
"630.0","284.0833333333333","nan","nan","nan","nan","445.35294117647055","nan","nan","135.0","nan"
"640.0","256.25","nan","nan","55.0","nan","403.3666666666666","nan","nan","nan","690.0"
"650.0","316.7647058823529","nan","nan","nan","162.0","629.375","75.0","nan","67.0","nan"
"660.0","386.4901960784314","nan","nan","nan","264.0","360.3458781362007","nan","nan","nan","601.0"
"670.0","223.73684210526315","nan","nan","nan","nan","487.7836257309942","132.66666666666666","nan","nan","690.0"
"680.0","300.0625","nan","nan","nan","102.0","457.1975308641975","nan","nan","51.0","nan"
"690.0","262.69565217391306","nan","nan","nan","87.0","482.7892720306513","107.0","nan","85.0","nan"
"700.0","385.11764705882354","318.5","nan","nan","155.0","511.6333333333333","137.0","nan","490.0","nan"
"710.0","321.0","nan","nan","49.0","nan","329.58333333333337","126.5","nan","nan","nan"
"720.0","204.07142857142858","616.5","nan","nan","nan","288.29166666666663","327.0","nan","553.0","305.0"
"730.0","255.8","nan","nan","nan","nan","401.27536231884056","124.25","nan","248.0","nan"
"740.0","274.5217391304348","667.0","nan","nan","130.0","461.0206896551724","540.5","nan","815.0","537.0"
"750.0","232.1818181818182","nan","nan","nan","123.0","369.4345238095238","nan","nan","nan","nan"
"760.0","333.52941176470586","nan","nan","nan","nan","358.27638888888885","106.0","nan","nan","586.5"
"770.0","374.29411764705884","nan","nan","nan","nan","432.0121951219512","nan","nan","847.0","nan"
"780.0","350.06666666666666","nan","nan","nan","nan","395.54964539007096","145.5","nan","nan","nan"
"790.0","229.26315789473685","nan","nan","nan","nan","241.5142857142857","486.0","nan","183.0","nan"
"800.0","347.3333333333333","nan","nan","nan","nan","190.79824561403507","824.0","583.5","nan","nan"
"810.0","196.96666666666667","nan","nan","nan","nan","486.3047619047619","nan","663.5","nan","nan"
"820.0","299.1666666666667","nan","nan","nan","nan","323.3814102564103","nan","nan","690.0","nan"
"830.0","520.75","nan","nan","nan","nan","359.9313725490196","195.0","764.0","nan","nan"
"840.0","329.36","nan","nan","nan","nan","351.47457627118644","nan","nan","nan","nan"
"850.0","283.25","nan","nan","nan","nan","543.9772727272727","nan","846.0","nan","nan"
"860.0","209.78571428571428","nan","nan","nan","nan","442.9375","nan","916.0","663.0","457.0"
"870.0","294.63","nan","nan","nan","173.0","487.0735294117647","nan","nan","nan","nan"
"880.0","327.525","710.5","nan","nan","nan","423.2916666666667","nan","nan","nan","nan"
"890.0","324.3","956.0","nan","nan","nan","307.27806122448976","84.0","nan","305.5","nan"
"900.0","217.12","860.0","nan","nan","nan","435.1969696969697","132.5","nan","529.0","nan"
"910.0","298.0","nan","nan","nan","nan","445.8545454545455","nan","nan","754.0","nan"
"920.0","307.5882352941176","nan","nan","nan","177.0","410.3461538461538","173.0","nan","151.0","nan"
"930.0","250.11764705882354","423.0","nan","nan","nan","225.1509433962264","244.0","nan","454.0","nan"
"940.0","216.0","191.0","nan","nan","130.0","213.18","101.0","nan","402.25","nan"
"950.0","282.6071428571429","710.0","nan","nan","nan","255.03","111.0","nan","431.75","nan"
"960.0","299.93333333333334","nan","nan","nan","nan","274.2093023255814","nan","325.0","731.5","nan"
