"Updates","params_6","params_10","params_3","params_9","params_7","params_1","params_4","params_8","params_2","params_5"
"10.0","0.4","0.8","1.0","0.8","0.6","0.6","0.4","0.2","0.8","0.4"
"20.0","0.2","0.4","0.0","0.6","0.2","0.4","0.6","0.6","0.0","0.4"
"30.0","0.0","0.6","0.8","0.6","0.2","0.6","0.2","0.2","0.0","0.2"
"40.0","0.0","0.4","0.2","0.4","0.8","0.8","0.2","0.0","0.0","0.2"
"50.0","0.2","0.0","0.0","0.2","0.2","0.4","0.8","0.2","0.0","0.2"
"60.0","0.0","0.2","0.0","0.4","0.0","0.8","0.0","0.0","0.0","0.2"
"70.0","0.2","0.2","0.0","0.0","1.2","0.2","0.2","0.0","0.2","0.4"
"80.0","0.2","0.8","0.0","0.2","0.2","0.6","0.0","0.0","0.2","0.6"
"90.0","0.0","0.0","0.0","0.2","0.2","0.0","0.0","0.0","0.6","0.4"
"100.0","0.2","0.4","0.0","0.0","0.0","0.0","0.0","0.0","0.4","0.0"
"110.0","0.2","0.0","0.0","0.2","0.4","0.4","0.0","0.0","0.2","0.4"
"120.0","0.2","0.2","0.0","0.2","0.4","0.6","0.0","0.0","0.2","0.6"
"130.0","0.0","0.0","0.0","0.0","0.2","0.6","0.8","0.2","0.0","0.4"
"140.0","0.2","0.0","0.2","0.0","0.2","0.4","0.4","0.2","0.4","0.2"
"150.0","0.4","0.2","0.2","0.2","0.2","0.4","0.2","0.2","0.0","0.8"
"160.0","0.6","0.2","0.0","0.0","0.0","0.4","0.6","0.0","0.2","0.2"
"170.0","0.0","0.0","0.2","0.0","0.0","0.2","0.2","0.0","0.2","1.2"
"180.0","0.2","0.0","0.0","0.0","0.0","0.2","1.0","0.0","0.0","0.6"
"190.0","0.2","0.6","0.0","0.4","0.4","0.4","0.8","0.0","0.0","0.8"
"200.0","0.0","0.2","0.0","0.0","0.4","0.0","0.2","0.4","0.0","0.0"
"210.0","0.0","0.0","0.0","0.0","0.0","0.2","0.4","0.0","0.2","0.2"
"220.0","0.2","0.0","0.0","0.0","0.2","0.0","0.8","0.0","0.2","0.0"
"230.0","0.2","0.0","0.0","0.2","0.0","0.6","0.2","0.0","0.2","0.0"
"240.0","0.0","0.2","0.0","0.0","0.0","0.4","0.8","0.0","0.0","0.0"
"250.0","0.2","0.0","0.0","0.0","0.0","0.4","0.0","0.0","0.2","0.2"
"260.0","0.0","0.0","0.0","0.0","0.0","0.8","0.4","0.2","0.4","0.2"
"270.0","0.0","0.0","0.0","0.0","0.2","0.0","1.4","0.0","0.4","0.6"
"280.0","0.0","0.0","0.0","0.0","0.0","0.2","0.6","0.0","0.2","0.0"
"290.0","0.2","0.0","0.0","0.2","0.0","0.8","0.8","0.2","0.0","0.2"
"300.0","0.0","0.2","0.0","0.0","0.0","0.6","0.2","0.0","0.2","0.0"
"310.0","0.0","0.0","0.0","0.0","0.2","0.6","0.2","0.4","0.2","0.0"
"320.0","0.0","0.2","0.0","0.0","0.0","1.0","0.2","0.0","0.4","0.0"
"330.0","0.0","0.0","0.0","0.2","0.0","0.2","0.0","0.0","0.2","0.0"
"340.0","0.2","0.0","0.0","0.2","0.2","0.4","0.0","0.0","0.4","0.0"
"350.0","0.0","0.0","0.0","0.0","0.0","0.4","0.0","0.0","0.2","0.0"
"360.0","0.0","0.0","0.0","0.0","0.0","0.4","0.0","0.2","0.2","0.0"
"370.0","0.2","0.0","0.0","0.0","0.2","0.4","0.0","0.2","0.4","0.2"
"380.0","0.6","0.0","0.0","0.0","0.2","0.4","0.2","0.0","0.2","0.0"
"390.0","0.4","0.0","0.0","0.0","0.4","0.0","0.0","0.0","0.2","0.2"
"400.0","2.0","0.4","0.0","0.0","0.6","0.0","0.0","0.0","0.2","0.0"
"410.0","1.2","0.0","0.0","0.0","0.4","0.0","0.4","0.0","0.4","0.0"
"420.0","1.6","0.0","0.0","0.0","0.6","0.0","0.0","0.0","0.8","0.0"
"430.0","2.2","0.0","0.0","0.0","0.4","0.4","0.0","0.0","0.2","0.4"
"440.0","2.2","0.0","0.0","0.0","0.4","0.6","0.4","0.0","0.6","0.2"
"450.0","2.4","0.0","0.0","0.0","0.2","0.4","0.0","0.0","0.0","0.2"
"460.0","2.0","0.0","0.0","0.0","0.0","0.4","0.0","0.0","0.2","0.2"
"470.0","1.6","0.0","0.0","0.0","0.0","1.6","0.0","0.0","0.2","0.4"
"480.0","3.4","0.0","0.0","0.0","0.2","2.0","0.6","0.0","0.0","0.2"
"490.0","1.8","0.0","0.0","0.0","0.2","1.4","0.2","0.0","0.2","0.4"
"500.0","2.8","0.2","0.0","0.0","0.2","2.2","0.0","0.0","0.0","0.4"
"510.0","2.6","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.2","0.2"
"520.0","4.0","0.0","0.0","0.0","0.0","1.6","0.0","0.0","0.0","0.4"
"530.0","2.4","0.0","0.0","0.0","0.0","0.8","0.2","0.0","0.2","0.0"
"540.0","3.6","0.0","0.0","0.0","0.0","0.2","0.6","0.0","0.0","0.4"
"550.0","1.6","0.0","0.0","0.0","0.0","0.8","0.0","0.0","0.0","0.2"
"560.0","2.2","0.0","0.0","0.2","0.0","2.2","0.4","0.0","0.2","0.2"
"570.0","2.8","0.0","0.0","0.0","0.0","2.8","0.0","0.0","0.4","0.0"
"580.0","3.0","0.2","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0"
"590.0","3.2","0.0","0.0","0.0","0.0","2.6","0.0","0.0","0.0","0.0"
"600.0","2.4","0.0","0.0","0.0","0.0","3.2","0.2","0.0","0.0","0.0"
"610.0","2.8","0.0","0.0","0.0","0.0","3.6","0.0","0.0","0.2","0.0"
"620.0","1.6","0.0","0.0","0.0","0.0","3.2","0.0","0.0","0.0","0.0"
"630.0","2.4","0.0","0.0","0.0","0.0","4.2","0.0","0.0","0.2","0.0"
"640.0","3.2","0.0","0.0","0.2","0.0","5.2","0.0","0.0","0.0","0.2"
"650.0","3.4","0.0","0.0","0.0","0.2","5.8","0.2","0.0","0.2","0.0"
"660.0","3.8","0.0","0.0","0.0","0.2","7.8","0.0","0.0","0.0","0.2"
"670.0","4.0","0.0","0.0","0.0","0.0","4.8","0.6","0.0","0.0","0.2"
"680.0","3.2","0.0","0.0","0.0","0.2","6.8","0.0","0.0","0.2","0.0"
"690.0","4.6","0.0","0.0","0.0","0.4","7.2","0.2","0.0","0.2","0.0"
"700.0","3.6","0.4","0.0","0.0","0.2","2.8","0.2","0.0","0.2","0.0"
"710.0","2.6","0.0","0.0","0.2","0.0","5.4","0.4","0.0","0.0","0.0"
